| Run | StRecall@10 | @20 | alpha_nDCG@10 | @20 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.7.lambda-0.6.txt | 0.7115 | 0.7821 | 0.6290 | 0.6558 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.7.lambda-0.7.txt | 0.7030 | 0.7802 | 0.6083 | 0.6406 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.5.txt | 0.7383 | 0.8104 | 0.6227 | 0.6482 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.6.txt | 0.7518 | 0.8078 | 0.6317 | 0.6547 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.7.txt | 0.7313 | 0.8046 | 0.6208 | 0.6543 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.5.txt | 0.7370 | 0.8078 | 0.6212 | 0.6481 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.6.txt | 0.7447 | 0.8025 | 0.6212 | 0.6477 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.7.txt | 0.7306 | 0.7966 | 0.6186 | 0.6481 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.5.txt | 0.7335 | 0.8025 | 0.6172 | 0.6449 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.6.txt | 0.7303 | 0.7972 | 0.6151 | 0.6427 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.7.txt | 0.7163 | 0.7953 | 0.6107 | 0.6424 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.5.txt | 0.7399 | 0.8025 | 0.6187 | 0.6443 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.6.txt | 0.7245 | 0.7953 | 0.6080 | 0.6383 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.7.txt | 0.7163 | 0.7883 | 0.6114 | 0.6408 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.5.txt | 0.7299 | 0.7955 | 0.6128 | 0.6402 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.6.txt | 0.7269 | 0.7883 | 0.6076 | 0.6362 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.7.txt | 0.7110 | 0.7883 | 0.6077 | 0.6394 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.5.txt | 0.7362 | 0.7955 | 0.6188 | 0.6411 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.6.txt | 0.7234 | 0.7883 | 0.6046 | 0.6331 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.7.txt | 0.7041 | 0.7883 | 0.6034 | 0.6389 |
